filename,treatment,treatment2,treatment3,spoken_comment,written_comment,opened,clicked,unsub,gender,english,age,yearbuilt,units,lowrise,mid_highrise,dem,rep,npp,vote_2020_general,vote_2017_municipal,vote_2016_general
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,59,1987,8,1,0,0,1,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,25,1987,8,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,53,1986,9,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,33,1985,5,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,23,1925,6,1,0,0,1,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,79,1962,5,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,64,1923,22,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,35,1976,72,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,26,1924,5,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,23,1953,6,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,43,1956,12,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,1,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,80,1963,10,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,36,1961,11,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,32,1965,58,1,0,0,0,1,0,0,0
